Rk,Player,PlayerName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,ORtg,DRtg,TeamPace,AdjORtg,AdjDRtg,avgMin,IndPos,Ortg/Min,DRtg/Min,Diff,Salary,Dollar/OffCont,Dollar/DefCont,Dollar/ContDiff,Dollar/Minute,Dollar/game,
386,Karl-Anthony Towns\townska01,Isaiah Whitehead,C,21,MIN,17,17,589,12.1,24.9,0.486,2.3,5.9,0.391,9.8,19,0.516,3.9,5.5,0.719,4.7,9.1,13.8,3.6,1.2,1.9,2.8,4.5,30.4,,113,108,100.6,113.678,108.648,34.65,72.61,82.55,78.89,3.65,1074145,480.87,27748.24,-93650.32,770.55,13099.33,Karl-Anthony Towns
387,P.J. Tucker\tuckepj01,Hassan Whiteside,SF,31,PHO,18,2,421,3.3,9.1,0.358,0.9,3.7,0.242,2.4,5.4,0.438,3.1,4.3,0.737,3,8.9,11.9,1.9,2.2,0.4,1.7,4.1,10.5,,103,107,95.6,98.468,102.292,23.39,46.58,45.87,47.65,-1.78,22116750,4452.47,400819.07,4097261.65,8562.43,269716.46,P.J. Tucker
388,Evan Turner\turneev01,Andrew Wiggins,SG,28,POR,19,0,467,6.9,17.1,0.402,1,3.5,0.294,5.8,13.5,0.431,2.7,2.9,0.929,1.1,6.7,7.8,5.2,1,0.5,2.5,3.3,17.5,,98,115,93.5,91.63,107.525,24.58,47.88,43.87,51.48,-7.61,6006600,1090.59,87817.07,-4873847.59,2165.06,73251.22,Evan Turner
389,Myles Turner\turnemy01,C.J. Wilcox,C,20,IND,17,17,483,9.6,18,0.534,0.6,2.1,0.286,9,15.9,0.567,5.5,6.9,0.794,2.7,10.4,13.2,1.7,1.7,4.1,2.7,5.5,25.3,,113,100,95.8,108.254,95.8,28.41,56.71,61.39,54.32,7.06,1209680,898.72,64165.83,-496215.74,1735.55,14752.2,Myles Turner
390,Beno Udrih\udrihbe01,Alan Williams,PG,34,DET,18,0,320,8.5,19,0.445,1.1,3.3,0.333,7.3,15.6,0.469,2.7,3,0.895,0.8,4.5,5.3,9.7,0.8,0,2.4,2.6,20.7,,108,108,102.3,110.484,110.484,17.78,37.89,41.86,41.86,0.00,874636,2548.02,91172.66,-161757.95,2666.57,10666.29,Beno Udrih
391,Tyler Ulis\ulisty01,Deron Williams,PG,21,PHO,11,0,124,6.1,15.2,0.4,0,1.5,0,6.1,13.7,0.444,3.4,3.8,0.9,0.4,2.7,3,7.6,5.7,0.4,4.2,3.4,15.6,,91,103,95.1,86.541,97.953,11.27,22.33,19.33,21.88,-2.55,9000000,1629.24,126105.98,-2248889.93,3100.45,109756.1,Tyler Ulis
392,Jonas Valanciunas\valanjo01,Derrick Williams,C,24,TOR,15,15,439,9.6,17.1,0.564,0,0,,9.6,17.1,0.564,5.1,6.2,0.815,5.6,11.8,17.5,1.5,0.6,1.5,2.6,4.6,24.3,,122,108,95.6,116.632,103.248,29.27,58.29,67.98,60.18,7.80,4598000,#DIV/0!,804957.9,-804957.9,18691.06,56073.17,Jonas Valanciunas
393,Denzel Valentine\valende01,Lou Williams,SG,23,CHI,12,0,121,4.2,14.2,0.294,3.3,10,0.333,0.8,4.2,0.2,0.4,0.8,0.5,0.4,6.7,7.1,2.1,0.8,0.4,1.7,6.3,12.1,,88,107,101.3,89.144,108.391,10.08,21.28,18.97,23.07,-4.10,7000000,1467.9,131617.5,1408307.3,3671.65,85365.85,Denzel Valentine
394,Fred VanVleet\vanvlfr01,Marvin Williams,PG,22,TOR,2,0,4,0,12.6,0,0,0,,0,12.6,0,0,0,,0,0,0,0,0,0,0,0,0,,0,118,96.7,0,114.106,2.00,4.03,0.00,4.60,-4.60,12250000,2924.68,225140.4,-3677293.28,5241.76,149390.24,Fred VanVleet
395,Anderson Varejao\varejan01,Troy Williams,C,34,GSW,5,0,26,3.7,9.2,0.4,0,0,,3.7,9.2,0.4,12.9,14.7,0.875,7.4,9.2,16.5,7.4,1.8,1.8,3.7,9.2,20.2,,136,102,94.2,128.112,96.084,5.20,10.21,13.07,9.81,3.27,543471,358.65,29124.1,-2999782.25,676.3,6627.7,Anderson Varejao
396,Greivis Vasquez\vasqugr01,Kyle Wiltjer,PG,30,BRK,3,0,39,2.4,9.7,0.25,1.2,3.6,0.333,1.2,6,0.2,2.4,3.6,0.667,0,2.4,2.4,6,1.2,1.2,1.2,7.2,8.5,,92,115,96.1,88.412,110.515,13.00,26.03,23.01,28.76,-5.75,543471,#DIV/0!,129572.95,-129572.95,3313.85,6627.7,Greivis Vasquez
397,Rashad Vaughn\vaughra01,Justise Winslow,SG,20,MIL,9,0,131,8,19.8,0.404,4.6,12.6,0.364,3.4,7.2,0.474,0,0,,0,4.2,4.2,0.8,1.9,1.5,0.8,3.1,20.6,,100,107,95.6,95.6,102.292,14.56,28.99,27.71,29.65,-1.94,2593440,560.1,36212.61,-171186.89,874.49,31627.32,Rashad Vaughn
398,Noah Vonleh\vonleno01,Jeff Withey,PF,21,POR,15,1,176,4.4,12.4,0.356,1.7,5,0.333,2.8,7.5,0.37,2.2,2.5,0.889,2.2,11.9,14.1,0.6,1.1,1.9,3.6,6.1,12.7,,83,110,90.8,75.364,99.88,11.73,22.20,16.73,22.17,-5.44,1015696,771.44,81049.15,288174.75,1629.81,12386.54,Noah Vonleh
399,Nikola Vucevic\vucevni01,Christian Wood,C,26,ORL,17,16,472,10,22.9,0.439,0.3,1,0.333,9.7,21.9,0.443,1.7,3.3,0.516,5.4,16,21.4,4.6,1.2,1.4,2.4,3.9,22.1,,99,100,96.7,95.733,96.7,27.76,55.93,53.55,54.09,-0.54,874636,#DIV/0!,166284.54,-166284.54,3555.43,10666.29,Nikola Vucevic
400,Sasha Vujacic\vujacsa01,Metta World Peace,SG,32,NYK,10,0,64,3.1,14.8,0.211,0.8,8.6,0.091,2.3,6.2,0.375,2.3,3.1,0.75,0,10.9,10.9,3.9,0.8,0,3.9,3.9,9.4,,60,111,101.3,60.78,112.443,6.40,13.51,8.21,15.19,-6.98,1551659,5463.74,226106.79,-456479.74,6307.56,18922.67,Sasha Vujacic
401,Dwyane Wade\wadedw01,James Young,SG,35,CHI,15,15,457,11.6,26.2,0.443,2.2,5.7,0.385,9.4,20.4,0.459,5.9,6.8,0.855,2.2,4.9,7.1,4.6,2.7,1.2,3.1,3.4,31.3,,111,103,97,107.67,99.91,30.47,61.57,66.29,61.51,4.78,1825200,#DIV/0!,217045.58,-217045.58,6070.51,22258.54,Dwyane Wade
402,Dion Waiters\waitedi01,Joe Young,SG,25,MIA,16,16,509,8.8,23,0.384,2.1,6.1,0.344,6.7,16.9,0.399,3,4.6,0.652,0.7,4.8,5.5,6.4,1.4,1,3.5,4.1,22.8,,93,106,100.4,93.372,106.424,31.81,66.54,62.13,70.82,-8.68,1052342,550.22,46284.54,1789668.87,1375.01,12833.44,Dion Waiters
403,Kemba Walker\walkeke02,Nick Young,PG,26,CHO,17,17,568,12.3,26.2,0.47,4.3,10,0.426,8.1,16.2,0.497,6.9,8.7,0.8,0.7,5.6,6.2,7.3,2.4,0.4,2.9,1.9,35.8,,116,104,101.3,117.508,105.352,33.41,70.51,82.86,74.29,8.57,5443918,887.48,84574.84,521544.86,2447.53,66389.24,Kemba Walker
404,John Wall\walljo01,Thaddeus Young,PG,26,WAS,14,14,487,11.8,26.3,0.449,1.7,4.6,0.378,10.1,21.6,0.464,7.9,9.5,0.828,1.1,5.2,6.4,12.7,2.9,0.9,6.8,3.9,33.2,,106,106,100.4,106.424,106.424,34.79,72.76,77.43,77.43,0.00,14153652,2534.77,217130.39,4863720.74,6228.03,172605.51,John Wall
405,Taurean Waller-Prince\princta02,Cody Zeller,SF,22,ATL,12,0,136,6.4,13.5,0.474,2.1,6.4,0.333,4.3,7.1,0.6,2.5,2.9,0.875,1.4,8.6,10,3.2,1.4,1.4,3.6,5.7,17.5,,103,100,96.7,99.601,96.7,11.33,22.83,22.74,22.08,0.66,5318313,1173.1,133659.59,343180.02,3016.63,64857.48,Taurean Waller-Prince
406,T.J. Warren\warretj01,Tyler Zeller,SF,23,PHO,13,13,421,10.4,22.8,0.458,0.9,2.9,0.308,9.5,19.8,0.48,4,4.9,0.818,2.9,3.4,6.3,1.5,2.8,0.4,1.5,4.1,25.8,,108,108,97,104.76,104.76,32.38,65.44,68.56,68.56,0.00,8000000,2027.05,173704.99,3856250.88,4609.18,97560.98,T.J. Warren
407,C.J. Watson\watsocj01,Stephen Zimmerman,PG,32,ORL,14,0,172,2.1,9.5,0.219,1.5,3.6,0.417,0.6,5.9,0.1,2.7,3.3,0.818,0.6,5.3,5.9,3.8,3,0,0.9,3.3,8.3,,91,104,95.8,87.178,99.632,12.29,24.52,21.38,24.43,-3.05,950000,688.55,56979.33,6210746.99,1448.17,11585.37,C.J. Watson
408,David West\westda01,Paul Zipser,PF,36,GSW,18,0,196,7.3,14.1,0.517,0,0.2,0,7.3,13.9,0.526,2.4,3.9,0.625,3.9,7.1,11,6.6,2.9,2.2,5.6,6.6,17.1,,98,101,96.3,94.374,97.263,10.89,21.85,20.62,21.25,-0.63,750000,1324.22,67866.26,-180976.69,1662.97,9146.34,David West
409,Russell Westbrook\westbru01,Ivica Zubac,PG,28,OKC,19,19,673,14.1,32.6,0.432,2.5,7.3,0.347,11.6,25.3,0.457,11.8,14.4,0.819,3.1,11.1,14.2,15.5,1.8,0.5,7.5,3.5,42.5,,111,103,101.3,112.443,104.339,35.42,74.75,84.05,78.00,6.06,1034956,290.83,44825.02,50958.97,1262.14,12621.41,Russell Westbrook
410,Isaiah Whitehead\whiteis01,,PG,21,BRK,12,6,234,5,14.1,0.357,1,3.8,0.263,4,10.3,0.392,2.2,2.4,0.917,1,5,6,7.2,1.4,1.6,5.6,5,13.3,,81,112,,,,,,,,,,,,,,,
411,Hassan Whiteside\whiteha01,,C,27,MIA,17,17,555,11.2,20.3,0.552,0,0,,11.2,20.3,0.552,4.6,8.4,0.549,7.3,16.3,23.6,1.2,1.3,3.9,3.5,5.5,27.1,,109,96,,,,,,,,,,,,,,,
412,Andrew Wiggins\wiggian01,,SF,21,MIN,17,17,617,10.7,25.2,0.427,2.1,5.4,0.394,8.6,19.8,0.436,8.1,10.5,0.767,1.5,3.9,5.5,3,0.6,0.7,3.7,2.6,31.7,,104,113,,,,,,,,,,,,,,,
413,C.J. Wilcox\wilcocj01,,SG,26,ORL,6,0,41,2.5,9.9,0.25,2.5,8.7,0.286,0,1.2,0,2.5,2.5,1,0,2.5,2.5,5,0,0,1.2,1.2,9.9,,101,112,,,,,,,,,,,,,,,
414,Alan Williams\willial03,,PF,24,PHO,7,0,77,9.2,13.5,0.682,0,0,,9.2,13.5,0.682,3.7,7.4,0.5,9.8,12.9,22.7,0.6,2.5,4.3,4.3,8.6,22.1,,117,99,,,,,,,,,,,,,,,
415,Deron Williams\willide01,,PG,32,DAL,8,8,221,7.5,19.7,0.381,2.8,8.5,0.333,4.7,11.3,0.417,2.8,3.5,0.8,0.2,3.3,3.5,8.9,0.7,0.5,4.7,4.5,20.7,,93,112,,,,,,,,,,,,,,,
416,Derrick Williams\willide02,,SF,25,MIA,11,9,171,8.4,20.9,0.4,1.5,7.5,0.2,6.9,13.4,0.511,2.7,5.4,0.5,2.4,5.1,7.5,1.2,0.9,0.6,0.6,2.7,20.9,,98,108,,,,,,,,,,,,,,,
417,Lou Williams\willilo02,,SG,30,LAL,18,0,425,11.2,24.2,0.463,3.8,9.5,0.405,7.3,14.7,0.5,7.6,9,0.838,0.5,3.8,4.3,6.8,2.7,0.1,4.1,2.1,33.8,,115,111,,,,,,,,,,,,,,,
418,Marvin Williams\willima02,,PF,30,CHO,15,15,413,6.1,18.1,0.336,3.5,10.1,0.341,2.6,8,0.328,2,2.5,0.81,1.9,9,10.9,2.3,0.6,0.8,1.2,3.1,17.7,,96,105,,,,,,,,,,,,,,,
419,Troy Williams\willitr02,,SF,22,MEM,12,3,153,7.1,14.5,0.488,1.4,4.4,0.308,5.8,10.1,0.567,3.7,6.8,0.55,0.7,3.7,4.4,2.7,2.4,0.7,2.7,5.1,19.3,,101,104,,,,,,,,,,,,,,,
420,Kyle Wiltjer\wiltjky01,,PF,24,HOU,3,0,6,0,24.8,0,0,24.8,0,0,0,,0,0,,0,16.5,16.5,0,0,0,16.5,16.5,0,,0,108,,,,,,,,,,,,,,,
421,Justise Winslow\winslju01,,SF,20,MIA,9,9,323,6.6,20.1,0.331,0.9,4.4,0.214,5.7,15.7,0.364,2.2,3,0.737,1.7,4.9,6.6,5.5,2.4,0.5,2.2,4.6,16.5,,87,105,,,,,,,,,,,,,,,
422,Jeff Withey\witheje01,,C,26,UTA,14,0,134,4.7,8.6,0.545,0,0.4,0,4.7,8.2,0.571,4.7,6.3,0.75,4.7,7.8,12.5,0.8,2,3.9,2.7,7.4,14.1,,115,97,,,,,,,,,,,,,,,
423,Christian Wood\woodch01,,PF,21,CHO,1,0,3,0,16.4,0,0,16.4,0,0,0,,0,0,,0,32.9,32.9,0,0,0,0,0,0,,0,95,,,,,,,,,,,,,,,
424,Metta World Peace\artesro01,,SF,37,LAL,6,0,29,3.3,13.3,0.25,3.3,9.9,0.333,0,3.3,0,3.3,6.6,0.5,1.7,1.7,3.3,5,1.7,0,0,11.6,13.3,,107,114,,,,,,,,,,,,,,,
425,James Young\youngja01,,SG,21,BOS,10,0,61,4.9,11.4,0.429,1.6,5.7,0.286,3.3,5.7,0.571,0,0,,1.6,6.5,8.2,2.5,2.5,0,0.8,1.6,11.4,,106,107,,,,,,,,,,,,,,,
426,Joe Young\youngjo01,,PG,24,IND,13,0,83,8.3,23,0.359,1.8,6.5,0.273,6.5,16.5,0.393,2.4,4.1,0.571,0.6,5.9,6.5,5.9,0.6,0,0.6,2.4,20.6,,95,110,,,,,,,,,,,,,,,
427,Nick Young\youngni01,,SG,31,LAL,17,17,448,8.7,19,0.458,4.9,11.8,0.418,3.8,7.2,0.522,3.4,3.6,0.941,0.8,3.9,4.6,2.1,0.5,0.8,1.3,5.3,25.7,,124,115,,,,,,,,,,,,,,,
428,Thaddeus Young\youngth01,,PF,28,IND,18,18,550,8.5,15.7,0.54,1.5,3.7,0.415,6.9,12,0.578,0.9,2,0.435,2.8,7,9.8,2.6,2,0.6,2,2.5,19.3,,112,105,,,,,,,,,,,,,,,
429,Cody Zeller\zelleco01,,PF,24,CHO,14,12,328,8.7,14.6,0.598,0,0,,8.7,14.6,0.598,6.3,10.2,0.618,3.8,7.8,11.6,2.9,1.1,2.3,1.5,7.1,23.7,,126,103,,,,,,,,,,,,,,,
430,Tyler Zeller\zellety01,,C,27,BOS,17,5,263,8.2,16.3,0.5,0,0,,8.2,16.3,0.5,2.3,3.8,0.6,4.7,8.5,13.3,3.8,0.8,2.8,1.7,5.7,18.6,,112,106,,,,,,,,,,,,,,,
431,Stephen Zimmerman\zimmest01,,C,20,ORL,2,0,11,4.6,9.3,0.5,0,0,,4.6,9.3,0.5,0,4.6,0,9.3,9.3,18.5,4.6,0,0,0,0,9.3,,120,108,,,,,,,,,,,,,,,
432,Paul Zipser\zipsepa01,,SF,22,CHI,5,0,26,0,9.7,0,0,3.9,0,0,5.8,0,0,0,,1.9,11.6,13.6,5.8,1.9,0,1.9,3.9,0,,39,102,,,,,,,,,,,,,,,
433,Ivica Zubac\zubaciv01,,C,19,LAL,3,1,27,5.3,10.7,0.5,0,0,,5.3,10.7,0.5,1.8,3.6,0.5,3.6,7.1,10.7,0,1.8,0,1.8,10.7,12.5,,101,111,,,,,,,,,,,,,,,
