Rk,Player,PlayerName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,ORtg,DRtg,TeamPace,AdjORtg,AdjDRtg,avgMin,IndPos,Ortg/Min,DRtg/Min,Diff,Salary,Dollar/OffCont,Dollar/DefCont,Dollar/ContDiff,Dollar/Minute,Dollar/game,
285,Anthony Morrow\morroan01,Kyle O'Quinn,SG,31,OKC,13,0,148,9.9,20,0.492,3,8.2,0.36,6.9,11.8,0.583,2.3,3,0.778,0.7,1,1.6,2,1,0.7,1,2,25,,118,110,98.4,116.112,108.24,11.38,23.34,27.10,25.26,1.84,3900000,1714.74,144551.25,5155661.31,3804.88,47560.98,Anthony Morrow
286,Timofey Mozgov\mozgoti01,Daniel Ochefu,C,30,LAL,17,17,367,8.1,13.5,0.602,0,0.1,0,8.1,13.4,0.608,3,3.7,0.821,4.3,6,10.3,2.5,0.7,1.3,2.6,5.1,19.2,,121,113,96.5,116.765,109.045,21.59,43.40,50.68,47.33,3.35,543471,#DIV/0!,63666.4,-63666.4,1656.92,6627.7,Timofey Mozgov
287,Emmanuel Mudiay\mudiaem01,Jahlil Okafor,PG,20,DEN,17,17,538,7.5,20.8,0.362,1.7,6,0.284,5.8,14.8,0.394,5.7,7,0.808,1,6,7,6.3,1.6,0.4,5.1,3.2,22.5,,92,108,98.6,90.712,106.488,31.65,65.01,58.97,69.23,-10.26,4788840,1517.58,112589.64,-1182191.25,2920.02,58400.49,Emmanuel Mudiay
288,Shabazz Muhammad\muhamsh01,Victor Oladipo,SF,24,MIN,14,0,221,7.3,16.4,0.444,0.7,3.2,0.214,6.6,13.2,0.5,6.1,7.3,0.844,2.5,4.3,6.8,1.1,0.9,0.2,2,3,21.4,,110,113,103.7,114.07,117.181,15.79,34.10,38.90,39.96,-1.06,6552960,1052,85418.36,-8712673.09,2380.42,79914.15,Shabazz Muhammad
289,Dejounte Murray\murrade01,Arinze Onuaku,PG,20,SAS,10,1,42,4.9,15.9,0.308,2.4,3.7,0.667,2.4,12.2,0.2,2.4,7.3,0.333,0,6.1,6.1,8.6,0,0,8.6,8.6,14.7,,67,111,95.8,64.186,106.338,4.20,8.38,5.38,8.91,-3.53,980431,#DIV/0!,76305.88,-76305.88,1992.75,11956.48,Dejounte Murray
290,Jamal Murray\murraja01,Kelly Oubre,SG,19,DEN,17,3,375,7.9,19.7,0.399,3.9,9.2,0.423,4,10.6,0.378,3.4,4.1,0.813,1.3,4.8,6.1,4.5,1,0.5,3.1,3.9,22.9,,105,110,96.5,101.325,106.15,22.06,44.35,44.94,47.07,-2.14,2006640,849.41,61021.99,-492534.64,1631.41,24471.22,Jamal Murray
291,Mike Muscala\muscami01,Zaza Pachulia,C,25,ATL,18,1,385,7.9,14,0.568,1.8,4.3,0.412,6.2,9.7,0.636,2.9,3.8,0.767,3.3,6.7,9.9,3.4,1.1,1.4,2.4,4,20.5,,123,102,103.6,127.428,105.672,21.39,46.16,58.83,48.78,10.04,2898000,728.07,64124.37,865678.97,1888.48,35341.46,Mike Muscala
292,Larry Nance Jr.\nancela02,Georgios Papagiannis,PF,24,LAL,17,0,371,7.3,12,0.602,0.1,1,0.125,7.1,11,0.647,1.7,2.2,0.765,3,9.1,12,2.7,2.6,0.9,1.4,4.4,16.3,,126,108,94,118.44,101.52,21.82,42.74,50.62,43.39,7.23,2202240,3330.9,181261.78,-538886.37,4476.1,26856.59,Larry Nance Jr.
293,Shabazz Napier\napiesh01,Jabari Parker,PG,25,POR,12,0,77,6.9,18.9,0.367,4.4,14.5,0.304,2.5,4.4,0.571,4.4,7.6,0.583,0,5,5,8.2,4.4,0,3.2,5,22.7,,103,109,98.6,101.558,107.474,6.42,13.18,13.39,14.17,-0.78,5374320,927.58,78904.63,2110698.96,2085.38,65540.49,Shabazz Napier
294,Maurice Ndour\ndourma01,Tony Parker,PF,24,NYK,9,0,77,5.8,12.3,0.474,0,1.3,0,5.8,11,0.529,3.2,3.9,0.833,2.6,7.8,10.4,0,1.9,1.3,1.3,7.1,14.9,,108,109,93.9,101.412,102.351,8.56,16.74,16.97,17.13,-0.16,14445313,4021.01,272247.96,-1561843.57,6647.64,176162.35,Maurice Ndour
