Rk,Player,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Cost/Minute,Cost/PER,Cost/USG
77,Delon Wright\wrighde01,PG,23,TOR,27,229,17.8,0.54,0.163,0.438,4.1,14.3,9.3,22.5,1.8,1.1,14.4,22.1,0.3,0.2,0.6,0.124,-0.1,-0.6,-0.7,0.1,1577280,6887.68559,88611.23596,71370.13575
78,Festus Ezeli\ezelife01,C,26,GSW,46,770,17.7,0.559,0,0.579,13.5,21.9,18,5.8,1.1,4.8,11.7,18.2,1.4,1.3,2.7,0.171,-1.5,1.4,-0.1,0.4,7400000,9610.38961,418079.096,406593.4066
79,Marc Gasol\gasolma01,C,31,MEM,52,1791,17.7,0.528,0.004,0.347,3.5,20.2,11.5,18.9,1.4,3.6,12.7,23.4,1.8,1.9,3.7,0.098,-0.7,1.7,1,1.3,21165675,11817.79732,1195800.847,904516.0256
80,C.J. McCollum\mccolcj01,SG,24,POR,80,2780,17.7,0.544,0.33,0.158,1.8,8.3,5,21.6,1.7,0.6,11.4,27.1,4.4,1.7,6,0.104,2.5,-2,0.4,1.7,3219579,1158.121942,181897.1186,118803.6531
81,Kristaps Porzingis\porzikr01,PF,20,NYK,72,2047,17.7,0.518,0.274,0.271,7.1,20.7,14,7.8,1.3,5,10.9,24.6,1.5,2.9,4.3,0.102,-0.8,0.9,0.1,1.1,4317720,2109.291646,243938.9831,175517.0732
82,Lou Williams\willilo02,SG,29,LAL,67,1907,17.7,0.584,0.462,0.612,1.7,8.1,4.8,15.1,1.6,0.8,10.8,22.8,4.5,0.3,4.7,0.119,3,-2.7,0.3,1.1,7000000,3670.686943,395480.226,307017.5439
83,Jeff Withey\witheje01,C,25,UTA,51,658,17.7,0.577,0.012,0.364,10,20.7,15.4,5,1.7,6.8,13,15.1,1.1,1.3,2.3,0.171,-2,3.7,1.7,0.6,1015696,1543.610942,57383.9548,67264.63576
84,Cristiano Felicio\feliccr01,C,23,CHI,31,321,17.6,0.601,0.056,0.486,10,23.1,16.7,12.1,0.9,3,12.9,13.7,0.7,0.4,1.2,0.175,-0.5,1.4,0.9,0.2,874636,2724.722741,49695.22727,63842.0438
85,Robin Lopez\lopezro01,C,27,NYK,82,2219,17.6,0.574,0.002,0.243,13.4,16.2,14.8,8.5,0.4,4.4,15.4,17.7,3.7,2.1,5.8,0.126,0.1,1.3,1.4,1.9,13219250,5957.300586,751093.75,746850.2825
86,Ricky Rubio\rubiori01,PG,25,MIN,76,2323,17.6,0.529,0.324,0.536,2,14.1,8.2,41.4,3.5,0.4,21,17.7,3.6,2.2,5.8,0.119,1.8,0.1,1.9,2.3,13550000,5832.974602,769886.3636,765536.7232
87,David West\westda01,PF,35,SAS,78,1404,17.6,0.573,0.016,0.179,6,18.6,12.5,15.4,1.6,3,12.3,18,2.4,2.9,5.4,0.184,0.1,3.3,3.4,1.9,1551659,1105.170228,88162.44318,86203.27778
88,Rudy Gobert\goberru01,C,23,UTA,61,1932,17.5,0.582,0,0.799,12.6,27.7,20.2,7.4,1.2,5.9,19.2,14.2,2.6,3.8,6.4,0.16,-1.1,4.8,3.7,2.8,2121288,1097.975155,121216.4571,149386.4789
