Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,TeamPace,AdjORtg,AdjDRtg,avgMin,IndPos,Ortg/Min,DRtg/Min,Diff,Salary,$/OffCont,$/DefCont,$/ContDiff,$/Minute,$/game
364,Hassan Whiteside\whiteha01,C,27,MIA,4,4,120,13.8,23,0.6,0,0,,13.8,23,0.6,5.4,10.5,0.52,5,18,23,0.8,0.8,5,4.6,5.9,33,106,90,95.6,101.336,86.04,30.00,59.75,60.55,51.41,9.14," $22,116,750.00 "," $4,454.57 "," $430,212.47 "," $2,419,945.16 "," $8,990.55 "," $269,716.46 "
365,Andrew Wiggins\wiggian01,SF,21,MIN,3,3,101,11.7,22.4,0.523,2,3.6,0.571,9.7,18.8,0.514,10.7,15.2,0.7,2.5,3,5.6,2,0,1,4.1,3,36.1,118,108,93.5,110.33,100.98,33.67,65.58,72.35,66.22,6.13," $6,006,600.00 "," $1,012.40 "," $90,703.25 "," $979,595.11 "," $2,175.78 "," $73,251.22 "
366,C.J. Wilcox\wilcocj01,SG,26,ORL,3,0,25,2,12,0.167,2,10,0.2,0,2,0,0,0,,0,2,2,6,0,0,0,2,6,79,117,95.8,75.682,112.086,8.33,16.63,12.59,18.64,-6.05," $1,209,680.00 "," $1,171.98 "," $64,889.75 "," $(199,792.13)"," $1,770.26 "," $14,752.20 "
367,Alan Williams\willial03,PF,24,PHO,1,0,4,11.7,11.7,1,0,0,,11.7,11.7,1,0,0,,0,11.7,11.7,0,0,0,23.5,0,23.5,48,108,102.3,49.104,110.484,4.00,8.53,4.19,9.42,-5.23," $874,636.00 "," $2,548.02 "," $92,861.05 "," $(167,149.88)"," $2,666.57 "," $10,666.29 "
368,Deron Williams\willide01,PG,32,DAL,4,4,140,8.7,18.4,0.471,4,7.9,0.5,4.7,10.5,0.448,1.4,2.2,0.667,0.4,1.8,2.2,8.3,0.7,0.7,4.3,4,22.7,106,114,95.1,100.806,108.414,35.00,69.34,69.90,75.18,-5.28," $9,000,000.00 "," $1,570.13 "," $119,715.34 "," $(1,705,943.65)"," $3,135.89 "," $109,756.10 "
369,Lou Williams\willilo02,SG,30,LAL,5,0,111,9.8,20.9,0.469,4.3,9.8,0.435,5.6,11.1,0.5,7.3,8.1,0.895,0,1.7,1.7,8.1,3,0,3.8,2.1,31.2,123,111,101.3,124.599,112.443,22.20,46.85,58.38,52.68,5.70," $7,000,000.00 "," $1,462.34 "," $132,875.35 "," $1,229,097.02 "," $3,845.31 "," $85,365.85 "
370,Marvin Williams\willima02,PF,30,CHO,4,4,123,6.1,16.1,0.375,3.2,8.9,0.364,2.8,7.3,0.389,0.8,1.6,0.5,1.2,11.7,12.9,2,1.6,1.2,0.8,4,16.1,99,97,96.7,95.733,93.799,30.75,61.95,59.31,58.11,1.20," $12,250,000.00 "," $2,519.01 "," $210,817.92 "," $10,224,669.11 "," $4,858.22 "," $149,390.24 "
371,Troy Williams\willitr02,SF,22,MEM,3,1,40,6.4,11.5,0.556,1.3,3.8,0.333,5.1,7.6,0.667,7.6,11.5,0.667,1.3,1.3,2.5,2.5,5.1,1.3,3.8,5.1,21.7,112,100,94.2,105.504,94.2,13.33,26.17,27.61,24.65,2.96," $543,471.00 ", $240.07 ," $22,048.40 "," $183,736.66 ", $497.08 ," $6,627.70 "
372,Kyle Wiltjer\wiltjky01,PF,24,HOU,2,0,5,0,30,0,0,30,0,0,0,,0,0,,0,20,20,0,0,0,10,20,0,0,108,96.1,0,103.788,2.50,5.01,0.00,5.19,-5.19," $543,471.00 ",#DIV/0!," $104,618.16 "," $(104,618.16)"," $2,651.08 "," $6,627.70 "
373,Justise Winslow\winslju01,SF,20,MIA,4,4,146,7.2,20.3,0.356,1,5.5,0.188,6.2,14.8,0.419,2.4,3.4,0.7,2.1,5.5,7.6,6.2,1.4,1,3.4,4.8,17.9,87,103,95.6,83.172,98.468,36.50,72.70,60.46,71.58,-11.12," $2,593,440.00 ", $523.09 ," $36,230.27 "," $(233,232.36)", $866.50 ," $31,627.32 "
374,Jeff Withey\witheje01,C,26,UTA,3,0,25,0,4.2,0,0,0,,0,4.2,0,8.5,8.5,1,0,8.5,8.5,0,4.2,4.2,2.1,6.3,8.5,92,91,90.8,83.536,82.628,8.33,15.76,13.17,13.03,0.14," $1,015,696.00 ", $940.62 ," $77,978.19 "," $7,096,015.06 "," $1,486.38 "," $12,386.54 "
